subject,group,2023,2025,change
Língua Portuguesa,Controle,263.99716455696205,270.9173253012048,6.920160744242764
Língua Portuguesa,Retorno escolar afetado,265.63117647058823,274.6357142857143,9.00453781512607
Matemática,Controle,264.3841265822785,272.1460722891566,7.761945706878123
Matemática,Retorno escolar afetado,265.76794117647063,275.2065714285714,9.43863025210078
