subject,treated_mean,control_mean,difference,p_welch,treated_n,control_n
Matemática,241.15414285714286,242.20742788461536,-1.0532850274724979,0.618887429798209,70,416
Língua Portuguesa,224.11671428571427,226.6096875,-2.4929732142857404,0.12671443085975548,70,416
